,budget,usa_gross_income,worlwide_gross_income
1437,,,
1438,$ 270000,,
1439,,,
1440,$ 652675,,
1441,,,
1442,,,
1443,,,$ 27690
1444,,,
1445,,,
1446,,,
1447,,,
1448,,,
1449,,,
1450,,,
1451,$ 444000,,
1452,,,
1453,,,
1454,,,
1455,$ 519706,,
1456,,,
1457,$ 310000,,
1458,,,
1459,,,
1460,,,
1461,$ 284000,,
1462,,,
1463,,,
1464,,,
1465,,,
1466,,,
1467,,,
1468,,,
1469,,,
1470,,,
1471,,,
1472,,,
1473,,,
1474,$ 411676,,
1475,$ 50000,,
1476,,,
1477,,,
1478,$ 223000,,
1479,,,
1480,,,
1481,,,
1482,,,
1483,,,
1484,,,
1485,$ 355000,,
1486,,,
1487,,,
1488,,,
1489,,,
1490,$ 303000,,
1491,$ 272297,,
1492,,,
1493,$ 187000,,
1494,$ 444399,,
1495,,,
1496,,,
1497,,,
1498,,,
1499,,,
1500,,,
1501,,,
1502,,,
1503,$ 151000,,
1504,$ 238591,,
1505,$ 344000,,
1506,$ 421496,,
1507,,,
1508,$ 239308,,
1509,,,
1510,,,
1511,,,
1512,,,
1513,PTE 870000,,
1514,$ 245000,,
1515,$ 1180280,,
1516,$ 365000,,
1517,,,
1518,,,
1519,,,
1520,$ 284000,,
1521,,,
1522,,,
1523,$ 245000,,
1524,,,
1525,,,
1526,,,
1527,,,
1528,$ 923055,,
1529,,,
1530,,,
1531,,,
1532,$ 171000,,
1533,,,
1534,,,
1535,,,
1536,,,
1537,$ 242000,,
1538,,,
1539,,,
1540,,,
1541,$ 329000,,
1542,,,$ 103800
1543,,,
1544,,,
1545,,,
1546,$ 250000,,
1547,$ 188000,,
1548,$ 950000,,
1549,$ 243000,,
1550,$ 93000,,
1551,,,
1552,,,
1553,$ 286000,,
1554,$ 462000,,
1555,$ 703000,,
1556,$ 439000,,$ 1600
1557,,,
1558,,,
1559,,,
1560,,,
1561,,,
1562,,,
1563,,,
1564,$ 107000,,
1565,$ 614000,,
1566,,,
1567,,,
1568,$ 164000,,
1569,,,
1570,,,
1571,$ 189000,,
1572,,,
1573,,,
1574,$ 895000,,
1575,,,
1576,,,
1577,,,
1578,$ 9600,,
1579,,,
1580,$ 266000,,
1581,,,
1582,$ 211000,,
1583,,,
1584,,,
1585,,,
1586,,,
1587,$ 225000,,
1588,,,
1589,,,
1590,,,
1591,,,$ 27105
1592,$ 300000,,
1593,,,
1594,,,
1595,,,
1596,$ 169000,,
1597,,,
1598,$ 670000,,$ 651
1599,,,
1600,,,
1601,,,
1602,,,
1603,,,
1604,,,
1605,,,
1606,,,$ 852
1607,$ 202000,,
1608,,,
1609,$ 197000,,
1610,$ 424000,,
1611,,,
1612,,,
1613,$ 117000,,
1614,,,
1615,,,
1616,,,
1617,,,
1618,,,
1619,,,
1620,,,
1621,$ 229000,,
1622,,,
1623,,,
1624,$ 240000,,
1625,,,
1626,$ 154000,,
1627,$ 239000,,
1628,,,
1629,,,
1630,,,
1631,$ 240000,,
1632,,,
1633,,,
1634,,,
1635,,,
1636,,,
1637,,,
1638,,,
1639,,,
1640,,,
1641,,,
1642,$ 206000,,
1643,,,
1644,$ 623000,,
1645,,,
1646,,,
1647,,,
1648,,,
1649,,,
1650,,,
1651,,,
1652,,,
1653,,,
1654,,,
1655,$ 260000,,
1656,GBP 60000,,
1657,$ 682000,,
1658,,,
1659,,,
1660,,,
1661,,,
1662,$ 15000,,
1663,,,
1664,,,
1665,$ 1000000,,
1666,,,
1667,,,
1668,,,
1669,,,
1670,,,
1671,$ 531641,,
1672,$ 200000,,
1673,$ 111000,,
1674,,,
1675,,,
1676,,,
1677,,,
1678,,,
1679,,,
1680,,,
1681,,,
1682,$ 250000,,
1683,,,
1684,,,
1685,,,
1686,,,
1687,,,
1688,,,
